File name: butterfly 847.jpeg, Image: butterfly, Predicted Class: sweet_pepper
File name: cow 1785.jpeg, Image: cow, Predicted Class: butterfly
File name: cat 402.jpg, Image: cat, Predicted Class: cattle
File name: dog 362.jpeg, Image: dog, Predicted Class: motorcycle
File name: elephant 1020.jpeg, Image: elephant, Predicted Class: skunk
File name: spider 578.jpeg, Image: spider, Predicted Class: bee
File name: cat 583.jpeg, Image: cat, Predicted Class: beetle
File name: spider 2929.jpeg, Image: spider, Predicted Class: snake
File name: chicken 1217.jpeg, Image: chicken, Predicted Class: leopard
File name: dog 646.jpeg, Image: dog, Predicted Class: orchid
File name: sheep 249.jpeg, Image: sheep, Predicted Class: motorcycle
File name: chicken 2296.jpeg, Image: chicken, Predicted Class: train
File name: dog 597.jpeg, Image: dog, Predicted Class: bee
File name: spider 3683.jpeg, Image: spider, Predicted Class: beetle
File name: cow 795.jpeg, Image: cow, Predicted Class: leopard
File name: butterfly 280.jpeg, Image: butterfly, Predicted Class: beetle
File name: sheep 814.jpeg, Image: sheep, Predicted Class: beaver
File name: cow 1404.jpeg, Image: cow, Predicted Class: butterfly
File name: dog 2046.jpeg, Image: dog, Predicted Class: motorcycle
File name: squirrel 832.jpeg, Image: squirrel, Predicted Class: woman
File name: butterfly 1878.jpg, Image: butterfly, Predicted Class: motorcycle
File name: butterfly 716.jpeg, Image: butterfly, Predicted Class: tractor
File name: spider 733.jpeg, Image: spider, Predicted Class: motorcycle
File name: sheep 1591.jpg, Image: sheep, Predicted Class: mushroom
File name: chicken 2620.jpeg, Image: chicken, Predicted Class: butterfly
File name: chicken 1105.jpeg, Image: chicken, Predicted Class: motorcycle
File name: squirrel 1426.jpeg, Image: squirrel, Predicted Class: motorcycle
File name: elephant 1088.jpg, Image: elephant, Predicted Class: keyboard
File name: butterfly 1242.jpeg, Image: butterfly, Predicted Class: bee
File name: spider 1911.jpeg, Image: spider, Predicted Class: beetle
File name: dog 2280.jpeg, Image: dog, Predicted Class: beetle
File name: spider 2542.jpeg, Image: spider, Predicted Class: bicycle
File name: cat 404.jpg, Image: cat, Predicted Class: bee
File name: chicken 2647.jpeg, Image: chicken, Predicted Class: butterfly
File name: chicken 1724.jpeg, Image: chicken, Predicted Class: butterfly
File name: elephant 15.jpeg, Image: elephant, Predicted Class: bicycle
File name: horse 1831.jpeg, Image: horse, Predicted Class: camel
File name: butterfly 1883.jpg, Image: butterfly, Predicted Class: caterpillar
File name: dog 1726.jpeg, Image: dog, Predicted Class: palm_tree
File name: squirrel 107.jpeg, Image: squirrel, Predicted Class: shrew
File name: horse 1035.jpeg, Image: horse, Predicted Class: tractor
File name: horse 409.jpeg, Image: horse, Predicted Class: butterfly
File name: butterfly 1705.jpg, Image: butterfly, Predicted Class: lawn_mower
File name: chicken 1538.jpeg, Image: chicken, Predicted Class: beetle
File name: chicken 1952.jpeg, Image: chicken, Predicted Class: beetle
File name: dog 1081.jpeg, Image: dog, Predicted Class: bicycle
File name: dog 386.jpeg, Image: dog, Predicted Class: tiger
File name: butterfly 706.jpeg, Image: butterfly, Predicted Class: lawn_mower
File name: squirrel 1387.jpeg, Image: squirrel, Predicted Class: forest
File name: cow 1468.jpeg, Image: cow, Predicted Class: motorcycle
File name: horse 526.jpeg, Image: horse, Predicted Class: lobster
File name: sheep 1435.jpeg, Image: sheep, Predicted Class: bicycle
File name: dog 4605.jpeg, Image: dog, Predicted Class: bicycle
File name: squirrel 740.jpeg, Image: squirrel, Predicted Class: leopard
File name: cow 1120.jpeg, Image: cow, Predicted Class: cattle
File name: cow 71.jpeg, Image: cow, Predicted Class: tulip
File name: horse 2517.jpeg, Image: horse, Predicted Class: motorcycle
File name: dog 2281.jpeg, Image: dog, Predicted Class: bee
File name: dog 2438.jpeg, Image: dog, Predicted Class: spider
File name: butterfly 1896.jpg, Image: butterfly, Predicted Class: motorcycle
File name: chicken 397.jpeg, Image: chicken, Predicted Class: butterfly
File name: elephant 963.jpeg, Image: elephant, Predicted Class: train
File name: horse 2556.jpeg, Image: horse, Predicted Class: cattle
File name: spider 2518.jpeg, Image: spider, Predicted Class: crab
File name: squirrel 86.jpeg, Image: squirrel, Predicted Class: kangaroo
File name: horse 2002.jpeg, Image: horse, Predicted Class: bee
File name: butterfly 1087.jpeg, Image: butterfly, Predicted Class: butterfly
File name: dog 3841.jpeg, Image: dog, Predicted Class: dinosaur
File name: spider 4101.jpeg, Image: spider, Predicted Class: beetle
File name: horse 46.jpeg, Image: horse, Predicted Class: caterpillar
File name: dog 325.jpeg, Image: dog, Predicted Class: spider
File name: cat 1239.jpeg, Image: cat, Predicted Class: butterfly
File name: cow 783.jpeg, Image: cow, Predicted Class: butterfly
File name: spider 675.jpeg, Image: spider, Predicted Class: bicycle
File name: dog 3960.jpeg, Image: dog, Predicted Class: clock
File name: spider 945.jpeg, Image: spider, Predicted Class: cockroach
File name: cat 51.jpg, Image: cat, Predicted Class: orchid
File name: spider 4804.jpg, Image: spider, Predicted Class: motorcycle
File name: spider 3531.jpeg, Image: spider, Predicted Class: snake
File name: dog 1793.jpeg, Image: dog, Predicted Class: bee
File name: spider 2090.jpeg, Image: spider, Predicted Class: snake
File name: cow 1269.jpeg, Image: cow, Predicted Class: bicycle
File name: cow 113.jpeg, Image: cow, Predicted Class: castle
File name: elephant 1114.jpg, Image: elephant, Predicted Class: motorcycle
File name: dog 2900.jpeg, Image: dog, Predicted Class: chimpanzee
File name: dog 4760.jpeg, Image: dog, Predicted Class: tiger
File name: elephant 515.jpeg, Image: elephant, Predicted Class: bear
File name: sheep 300.jpeg, Image: sheep, Predicted Class: motorcycle
File name: chicken 956.jpeg, Image: chicken, Predicted Class: butterfly
File name: butterfly 990.jpeg, Image: butterfly, Predicted Class: keyboard
File name: sheep 356.jpeg, Image: sheep, Predicted Class: motorcycle
File name: spider 1792.jpeg, Image: spider, Predicted Class: snake
File name: butterfly 799.jpeg, Image: butterfly, Predicted Class: caterpillar
File name: spider 827.jpeg, Image: spider, Predicted Class: bottle
File name: dog 2763.jpeg, Image: dog, Predicted Class: mushroom
File name: butterfly 768.jpeg, Image: butterfly, Predicted Class: motorcycle
File name: horse 1172.jpeg, Image: horse, Predicted Class: motorcycle
File name: cat 1344.jpeg, Image: cat, Predicted Class: orchid
File name: spider 639.jpeg, Image: spider, Predicted Class: spider
File name: spider 153.jpeg, Image: spider, Predicted Class: beetle
File name: spider 1804.jpeg, Image: spider, Predicted Class: bee
File name: cat 387.jpg, Image: cat, Predicted Class: raccoon
File name: squirrel 1764.jpeg, Image: squirrel, Predicted Class: bicycle
File name: spider 1311.jpeg, Image: spider, Predicted Class: motorcycle
File name: elephant 1382.jpg, Image: elephant, Predicted Class: beetle
File name: chicken 608.jpeg, Image: chicken, Predicted Class: butterfly
File name: spider 1506.jpeg, Image: spider, Predicted Class: snake
File name: spider 2351.jpeg, Image: spider, Predicted Class: beetle
File name: chicken 2540.jpeg, Image: chicken, Predicted Class: mountain
File name: chicken 1073.jpeg, Image: chicken, Predicted Class: butterfly
File name: spider 3466.jpeg, Image: spider, Predicted Class: snake
File name: butterfly 855.jpeg, Image: butterfly, Predicted Class: motorcycle
File name: cow 1778.jpeg, Image: cow, Predicted Class: bicycle
File name: dog 2841.jpeg, Image: dog, Predicted Class: bear
File name: spider 4157.jpeg, Image: spider, Predicted Class: bicycle
File name: spider 1577.jpeg, Image: spider, Predicted Class: cockroach
File name: spider 4752.jpg, Image: spider, Predicted Class: spider
File name: chicken 1722.jpeg, Image: chicken, Predicted Class: tiger
File name: horse 1615.jpeg, Image: horse, Predicted Class: beetle
File name: spider 510.jpeg, Image: spider, Predicted Class: forest
File name: butterfly 551.jpeg, Image: butterfly, Predicted Class: motorcycle
File name: cow 744.jpeg, Image: cow, Predicted Class: dinosaur
File name: elephant 1191.jpg, Image: elephant, Predicted Class: bear
File name: chicken 2735.jpeg, Image: chicken, Predicted Class: lobster
File name: sheep 1304.jpeg, Image: sheep, Predicted Class: dinosaur
File name: chicken 464.jpeg, Image: chicken, Predicted Class: porcupine
File name: spider 4306.jpeg, Image: spider, Predicted Class: spider
File name: horse 497.jpeg, Image: horse, Predicted Class: motorcycle
File name: dog 4144.jpeg, Image: dog, Predicted Class: raccoon
File name: squirrel 511.jpeg, Image: squirrel, Predicted Class: palm_tree
File name: sheep 596.jpeg, Image: sheep, Predicted Class: motorcycle
File name: sheep 1003.jpeg, Image: sheep, Predicted Class: house
File name: chicken 2175.jpeg, Image: chicken, Predicted Class: tiger
File name: cow 122.jpeg, Image: cow, Predicted Class: bicycle
File name: butterfly 1762.jpg, Image: butterfly, Predicted Class: bee
File name: dog 4218.jpeg, Image: dog, Predicted Class: skunk
File name: sheep 748.jpeg, Image: sheep, Predicted Class: tiger
File name: sheep 1436.jpeg, Image: sheep, Predicted Class: bicycle
File name: spider 2135.jpeg, Image: spider, Predicted Class: dinosaur
File name: spider 3343.jpeg, Image: spider, Predicted Class: caterpillar
File name: dog 4241.jpeg, Image: dog, Predicted Class: tiger
File name: horse 758.jpeg, Image: horse, Predicted Class: elephant
File name: chicken 1172.jpeg, Image: chicken, Predicted Class: caterpillar
File name: chicken 838.jpeg, Image: chicken, Predicted Class: motorcycle
File name: sheep 838.jpeg, Image: sheep, Predicted Class: wolf
File name: dog 4653.jpeg, Image: dog, Predicted Class: tiger
File name: spider 2629.jpeg, Image: spider, Predicted Class: dinosaur
File name: dog 3405.jpeg, Image: dog, Predicted Class: motorcycle
File name: dog 4490.jpeg, Image: dog, Predicted Class: caterpillar
File name: dog 1986.jpeg, Image: dog, Predicted Class: wolf
File name: dog 4485.jpeg, Image: dog, Predicted Class: motorcycle
File name: chicken 1928.jpeg, Image: chicken, Predicted Class: mouse
File name: chicken 1895.jpeg, Image: chicken, Predicted Class: tiger
File name: spider 2401.jpeg, Image: spider, Predicted Class: spider
File name: dog 3141.jpeg, Image: dog, Predicted Class: orchid
File name: butterfly 1445.jpeg, Image: butterfly, Predicted Class: sunflower
File name: dog 2475.jpeg, Image: dog, Predicted Class: butterfly
File name: horse 1616.jpeg, Image: horse, Predicted Class: leopard
File name: cat 164.jpg, Image: cat, Predicted Class: raccoon
File name: sheep 729.jpeg, Image: sheep, Predicted Class: lawn_mower
File name: spider 908.jpeg, Image: spider, Predicted Class: spider
File name: spider 2486.jpeg, Image: spider, Predicted Class: caterpillar
File name: dog 2330.jpeg, Image: dog, Predicted Class: bee
File name: dog 810.jpeg, Image: dog, Predicted Class: motorcycle
File name: squirrel 849.jpeg, Image: squirrel, Predicted Class: keyboard
File name: dog 1589.jpeg, Image: dog, Predicted Class: butterfly
File name: elephant 429.jpeg, Image: elephant, Predicted Class: forest
File name: spider 1423.jpeg, Image: spider, Predicted Class: butterfly
File name: spider 4115.jpeg, Image: spider, Predicted Class: beetle
File name: butterfly 396.jpeg, Image: butterfly, Predicted Class: butterfly
File name: cat 628.jpeg, Image: cat, Predicted Class: possum
File name: dog 1413.jpeg, Image: dog, Predicted Class: lobster
File name: chicken 703.jpeg, Image: chicken, Predicted Class: motorcycle
File name: chicken 845.jpeg, Image: chicken, Predicted Class: lawn_mower
File name: elephant 115.jpeg, Image: elephant, Predicted Class: tractor
File name: cow 1323.jpeg, Image: cow, Predicted Class: turtle
File name: chicken 2058.jpeg, Image: chicken, Predicted Class: tractor
File name: cow 1204.jpeg, Image: cow, Predicted Class: cattle
File name: chicken 2219.jpeg, Image: chicken, Predicted Class: motorcycle
File name: squirrel 253.jpeg, Image: squirrel, Predicted Class: leopard
File name: sheep 1560.jpg, Image: sheep, Predicted Class: rabbit
File name: squirrel 1833.jpeg, Image: squirrel, Predicted Class: spider
File name: horse 1336.jpeg, Image: horse, Predicted Class: tiger
File name: chicken 2554.jpeg, Image: chicken, Predicted Class: rocket
File name: horse 401.jpeg, Image: horse, Predicted Class: motorcycle
File name: spider 278.jpeg, Image: spider, Predicted Class: butterfly
File name: dog 2622.jpeg, Image: dog, Predicted Class: skunk
File name: dog 4360.jpeg, Image: dog, Predicted Class: man
File name: butterfly 453.jpeg, Image: butterfly, Predicted Class: caterpillar
File name: chicken 486.jpeg, Image: chicken, Predicted Class: motorcycle
File name: dog 1170.jpeg, Image: dog, Predicted Class: shrew
File name: cat 995.jpeg, Image: cat, Predicted Class: raccoon
File name: cow 518.jpeg, Image: cow, Predicted Class: cattle
File name: dog 3868.jpeg, Image: dog, Predicted Class: spider
File name: chicken 1818.jpeg, Image: chicken, Predicted Class: bee
File name: cow 1046.jpeg, Image: cow, Predicted Class: leopard
File name: dog 2681.jpeg, Image: dog, Predicted Class: butterfly
File name: spider 3123.jpeg, Image: spider, Predicted Class: motorcycle
File name: horse 1289.jpeg, Image: horse, Predicted Class: bee
File name: dog 4598.jpeg, Image: dog, Predicted Class: possum
File name: butterfly 702.jpeg, Image: butterfly, Predicted Class: butterfly
File name: dog 1729.jpeg, Image: dog, Predicted Class: boy
File name: horse 2482.jpeg, Image: horse, Predicted Class: bicycle
File name: chicken 2060.jpeg, Image: chicken, Predicted Class: bicycle
File name: cow 1217.jpeg, Image: cow, Predicted Class: butterfly
File name: cat 1573.jpeg, Image: cat, Predicted Class: bee
File name: dog 2687.jpeg, Image: dog, Predicted Class: fox
File name: chicken 651.jpeg, Image: chicken, Predicted Class: tulip
File name: dog 1109.jpeg, Image: dog, Predicted Class: butterfly
File name: spider 1627.jpeg, Image: spider, Predicted Class: raccoon
File name: cat 322.jpg, Image: cat, Predicted Class: raccoon
File name: chicken 1100.jpeg, Image: chicken, Predicted Class: snake
File name: spider 4093.jpeg, Image: spider, Predicted Class: orchid
File name: squirrel 906.jpeg, Image: squirrel, Predicted Class: cattle
File name: spider 1448.jpeg, Image: spider, Predicted Class: spider
File name: squirrel 1277.jpeg, Image: squirrel, Predicted Class: butterfly
File name: horse 1998.jpeg, Image: horse, Predicted Class: lobster
File name: cow 1492.jpeg, Image: cow, Predicted Class: house
File name: spider 4633.jpg, Image: spider, Predicted Class: beetle
File name: dog 4156.jpeg, Image: dog, Predicted Class: motorcycle
File name: spider 2372.jpeg, Image: spider, Predicted Class: snake
File name: sheep 1.jpeg, Image: sheep, Predicted Class: motorcycle
File name: dog 4692.jpeg, Image: dog, Predicted Class: wolf
File name: dog 3490.jpeg, Image: dog, Predicted Class: pickup_truck
File name: chicken 896.jpeg, Image: chicken, Predicted Class: motorcycle
File name: cow 481.jpeg, Image: cow, Predicted Class: dinosaur
File name: dog 2482.jpeg, Image: dog, Predicted Class: rabbit
File name: dog 1630.jpeg, Image: dog, Predicted Class: shrew
File name: dog 691.jpeg, Image: dog, Predicted Class: mouse
File name: elephant 957.jpeg, Image: elephant, Predicted Class: bicycle
File name: spider 3873.jpeg, Image: spider, Predicted Class: caterpillar
File name: sheep 1572.jpg, Image: sheep, Predicted Class: bicycle
File name: sheep 713.jpeg, Image: sheep, Predicted Class: kangaroo
File name: dog 3172.jpeg, Image: dog, Predicted Class: bicycle
File name: squirrel 653.jpeg, Image: squirrel, Predicted Class: motorcycle
File name: horse 1717.jpeg, Image: horse, Predicted Class: castle
File name: cat 127.jpg, Image: cat, Predicted Class: spider
File name: squirrel 793.jpeg, Image: squirrel, Predicted Class: tiger
File name: elephant 58.jpeg, Image: elephant, Predicted Class: butterfly
File name: cat 190.jpg, Image: cat, Predicted Class: bicycle
File name: cow 776.jpeg, Image: cow, Predicted Class: motorcycle
File name: spider 2796.jpeg, Image: spider, Predicted Class: caterpillar
File name: sheep 65.jpeg, Image: sheep, Predicted Class: mushroom
File name: butterfly 774.jpeg, Image: butterfly, Predicted Class: spider
File name: horse 97.jpeg, Image: horse, Predicted Class: motorcycle
File name: spider 2832.jpeg, Image: spider, Predicted Class: beetle
File name: dog 933.jpeg, Image: dog, Predicted Class: butterfly
File name: butterfly 173.jpeg, Image: butterfly, Predicted Class: butterfly
File name: dog 563.jpeg, Image: dog, Predicted Class: butterfly
File name: elephant 670.jpeg, Image: elephant, Predicted Class: leopard
File name: chicken 1656.jpeg, Image: chicken, Predicted Class: snake
File name: cat 1458.jpeg, Image: cat, Predicted Class: tiger
File name: dog 559.jpeg, Image: dog, Predicted Class: beetle
File name: cow 306.jpeg, Image: cow, Predicted Class: motorcycle
File name: dog 1440.jpeg, Image: dog, Predicted Class: spider
File name: dog 3266.jpeg, Image: dog, Predicted Class: lamp
File name: spider 953.jpeg, Image: spider, Predicted Class: bicycle
File name: cow 1258.jpeg, Image: cow, Predicted Class: bee
File name: sheep 1074.jpeg, Image: sheep, Predicted Class: dinosaur
File name: chicken 1201.jpeg, Image: chicken, Predicted Class: motorcycle
File name: cat 1288.jpeg, Image: cat, Predicted Class: raccoon
File name: dog 2986.jpeg, Image: dog, Predicted Class: bicycle
File name: squirrel 1624.jpeg, Image: squirrel, Predicted Class: motorcycle
File name: spider 1958.jpeg, Image: spider, Predicted Class: beetle
File name: horse 1427.jpeg, Image: horse, Predicted Class: tiger
File name: dog 3973.jpeg, Image: dog, Predicted Class: tiger
File name: squirrel 1341.jpeg, Image: squirrel, Predicted Class: beetle
File name: chicken 1441.jpeg, Image: chicken, Predicted Class: beetle
File name: butterfly 522.jpeg, Image: butterfly, Predicted Class: motorcycle
File name: chicken 428.jpeg, Image: chicken, Predicted Class: motorcycle
File name: squirrel 1338.jpeg, Image: squirrel, Predicted Class: spider
File name: cat 1661.jpeg, Image: cat, Predicted Class: tractor
File name: chicken 232.jpeg, Image: chicken, Predicted Class: butterfly
File name: horse 1109.jpeg, Image: horse, Predicted Class: motorcycle
File name: sheep 104.jpeg, Image: sheep, Predicted Class: tiger
File name: squirrel 1220.jpeg, Image: squirrel, Predicted Class: snake
File name: dog 1137.jpeg, Image: dog, Predicted Class: crocodile
File name: chicken 2433.jpeg, Image: chicken, Predicted Class: butterfly
File name: cow 1041.jpeg, Image: cow, Predicted Class: flatfish
File name: chicken 1455.jpeg, Image: chicken, Predicted Class: motorcycle
File name: butterfly 1151.jpeg, Image: butterfly, Predicted Class: butterfly
File name: cow 1207.jpeg, Image: cow, Predicted Class: leopard
File name: spider 2759.jpeg, Image: spider, Predicted Class: spider
File name: cow 1397.jpeg, Image: cow, Predicted Class: motorcycle
File name: horse 759.jpeg, Image: horse, Predicted Class: elephant
File name: spider 743.jpeg, Image: spider, Predicted Class: cockroach
File name: horse 85.jpeg, Image: horse, Predicted Class: spider
File name: spider 1223.jpeg, Image: spider, Predicted Class: caterpillar
File name: butterfly 1448.jpeg, Image: butterfly, Predicted Class: bee
File name: dog 3003.jpeg, Image: dog, Predicted Class: cockroach
File name: spider 2479.jpeg, Image: spider, Predicted Class: beetle
File name: spider 2377.jpeg, Image: spider, Predicted Class: beetle
File name: chicken 2953.jpeg, Image: chicken, Predicted Class: lobster
File name: spider 2932.jpeg, Image: spider, Predicted Class: beetle
File name: elephant 194.jpeg, Image: elephant, Predicted Class: elephant
File name: dog 11.jpeg, Image: dog, Predicted Class: bee
File name: butterfly 2076.jpg, Image: butterfly, Predicted Class: caterpillar
File name: cat 173.jpg, Image: cat, Predicted Class: raccoon
File name: dog 2748.jpeg, Image: dog, Predicted Class: shrew
File name: chicken 1296.jpeg, Image: chicken, Predicted Class: motorcycle
File name: dog 3337.jpeg, Image: dog, Predicted Class: motorcycle
File name: dog 924.jpeg, Image: dog, Predicted Class: motorcycle
File name: horse 418.jpeg, Image: horse, Predicted Class: motorcycle
File name: cow 1027.jpeg, Image: cow, Predicted Class: cattle
File name: cow 169.jpeg, Image: cow, Predicted Class: bee
File name: horse 523.jpeg, Image: horse, Predicted Class: woman
File name: chicken 3031.jpeg, Image: chicken, Predicted Class: motorcycle
File name: elephant 1334.jpg, Image: elephant, Predicted Class: bee
File name: cat 1291.jpeg, Image: cat, Predicted Class: bicycle
File name: spider 1831.jpeg, Image: spider, Predicted Class: can
File name: spider 3349.jpeg, Image: spider, Predicted Class: bee
File name: butterfly 1783.jpg, Image: butterfly, Predicted Class: beetle
File name: butterfly 1310.jpeg, Image: butterfly, Predicted Class: tulip
File name: spider 928.jpeg, Image: spider, Predicted Class: butterfly
File name: dog 3235.jpeg, Image: dog, Predicted Class: motorcycle
File name: squirrel 1470.jpeg, Image: squirrel, Predicted Class: bicycle
File name: cat 151.jpg, Image: cat, Predicted Class: possum
File name: elephant 1244.jpg, Image: elephant, Predicted Class: snake
File name: dog 1014.jpeg, Image: dog, Predicted Class: dinosaur
File name: elephant 1404.jpg, Image: elephant, Predicted Class: bee
File name: cow 1432.jpeg, Image: cow, Predicted Class: tractor
File name: spider 3054.jpeg, Image: spider, Predicted Class: lawn_mower
File name: sheep 47.jpeg, Image: sheep, Predicted Class: motorcycle
File name: chicken 2624.jpeg, Image: chicken, Predicted Class: beetle
File name: spider 862.jpeg, Image: spider, Predicted Class: snake
File name: dog 1649.jpeg, Image: dog, Predicted Class: snake
File name: spider 2452.jpeg, Image: spider, Predicted Class: spider
File name: sheep 229.jpeg, Image: sheep, Predicted Class: skunk
File name: cow 1611.jpeg, Image: cow, Predicted Class: elephant
File name: chicken 2176.jpeg, Image: chicken, Predicted Class: motorcycle
File name: horse 2348.jpeg, Image: horse, Predicted Class: motorcycle
File name: dog 1255.jpeg, Image: dog, Predicted Class: table
File name: dog 4698.jpeg, Image: dog, Predicted Class: beetle
File name: spider 3969.jpeg, Image: spider, Predicted Class: keyboard
File name: spider 4448.jpeg, Image: spider, Predicted Class: spider
File name: sheep 1612.jpg, Image: sheep, Predicted Class: cattle
File name: sheep 1154.jpeg, Image: sheep, Predicted Class: butterfly
File name: cow 300.jpeg, Image: cow, Predicted Class: elephant
File name: dog 436.jpeg, Image: dog, Predicted Class: skunk
File name: butterfly 815.jpeg, Image: butterfly, Predicted Class: beetle
File name: cow 994.jpeg, Image: cow, Predicted Class: butterfly
File name: dog 3076.jpeg, Image: dog, Predicted Class: motorcycle
File name: butterfly 1294.jpeg, Image: butterfly, Predicted Class: motorcycle
File name: horse 1218.jpeg, Image: horse, Predicted Class: snake
File name: sheep 866.jpeg, Image: sheep, Predicted Class: house
File name: cow 826.jpeg, Image: cow, Predicted Class: tulip
File name: elephant 45.jpeg, Image: elephant, Predicted Class: snake
File name: squirrel 551.jpeg, Image: squirrel, Predicted Class: butterfly
File name: cat 1330.jpeg, Image: cat, Predicted Class: motorcycle
File name: chicken 2352.jpeg, Image: chicken, Predicted Class: motorcycle
File name: horse 1328.jpeg, Image: horse, Predicted Class: motorcycle
File name: dog 4514.jpeg, Image: dog, Predicted Class: motorcycle
File name: cow 38.jpeg, Image: cow, Predicted Class: crocodile
File name: chicken 455.jpeg, Image: chicken, Predicted Class: dinosaur
File name: cat 30.jpg, Image: cat, Predicted Class: spider
File name: dog 2103.jpeg, Image: dog, Predicted Class: orchid
File name: butterfly 30.png, Image: butterfly, Predicted Class: motorcycle
File name: horse 2415.jpeg, Image: horse, Predicted Class: snake
File name: cat 1461.jpeg, Image: cat, Predicted Class: bicycle
File name: butterfly 162.jpeg, Image: butterfly, Predicted Class: bicycle
File name: elephant 1285.jpg, Image: elephant, Predicted Class: motorcycle
File name: squirrel 892.jpeg, Image: squirrel, Predicted Class: lobster
File name: dog 1601.jpeg, Image: dog, Predicted Class: tractor
File name: dog 2125.jpeg, Image: dog, Predicted Class: beetle
File name: spider 2787.jpeg, Image: spider, Predicted Class: beetle
File name: dog 4013.jpeg, Image: dog, Predicted Class: bear
File name: horse 2259.jpeg, Image: horse, Predicted Class: butterfly
